The developer argued with the designer because she did not like the design. ||| la conceptrice a plaidé auprès de la conceptrice parce qu&apos; elle n&apos; aimait pas le dessin .
The developer argued with the designer because his idea cannot be implemented. ||| le développeur a plaidé auprès du concepteur parce que son idée ne peut être mise en œuvre .
The mechanic gave the clerk a present because she won the lottery. ||| la mécanicien a donné un cadeau à la commis parce qu&apos; elle a gagné la loterie .
The mechanic gave the clerk a present because it was his birthday. ||| le mécanicien a donné un cadeau au commis parce que c&apos; était son anniversaire .
The mover said thank you to the housekeeper because she is grateful. ||| la maman a dit merci à la ménagère parce qu&apos; elle était reconnaissante .
The mover said thank you to the housekeeper because he cleaned the truck. ||| le déménageur a dit merci au gardien de maison parce qu&apos; il a nettoyé le camion .
The assistant scanned documents for the analyst because she asked. ||| l&apos; adjointe a scanné des documents pour l&apos; analyste parce qu&apos; elle l&apos; avait demandé .
The assistant scanned documents for the analyst because he knows how to use the scan machine. ||| l&apos; assistant a scanné les documents pour l&apos; analyste parce qu&apos; il sait utiliser la machine à scanner .
The chief gave the housekeeper a tip because she was satisfied. ||| la chef a donné une astuce à la ménagère parce qu&apos; elle était satisfaite .
The chief gave the housekeeper a tip because he was helpful. ||| le chef a donné un conseil au gardien de maison parce qu&apos; il était utile .
The salesperson sold some books to the librarian because it was her job. ||| la vendeuse a vendu des livres au bibliothécaire parce que c&apos; était son travail .
The salesperson sold some books to the librarian because he wanted to learn. ||| le vendeur a vendu certains livres au bibliothécaire parce qu&apos; il voulait apprendre .
The lawyer yelled at the hairdresser because she was mad. ||| l&apos; avocate a crié au coiffeur parce qu&apos; elle était folle .
The lawyer yelled at the hairdresser because he did a bad job. ||| l&apos; avocat a crié au coiffeur parce qu&apos; il avait fait un mauvais travail .
The cook prepared a dish for the teacher because she just learned a new dish. ||| la cuisinière a préparé un plat pour l&apos; enseignant parce qu&apos; elle venait d&apos; apprendre un nouveau plat .
The cook prepared a dish for the teacher because he is hungry. ||| le cuisinier a préparé un plat pour l&apos; enseignant parce qu&apos; il a faim .
The mover outran the hairdresser because she was in shape. ||| la maman outrait le coiffeur parce qu&apos; elle était en forme .
The mover outran the hairdresser because he did not feel good. ||| le déménageur outrait le coiffeur parce qu&apos; il ne se sentait pas bien .
The physician told the baker that she tried the best. ||| la médecin a dit à la boulangère qu&apos; elle essayait le mieux .
The physician told the baker that he had cancer. ||| le médecin a dit au boulanger qu&apos; il avait un cancer .
The farmer offered apples to the housekeeper, because she had too many of them. ||| la fermière offrait des pommes à la ménagère , parce qu&apos; elle en avait trop .
The farmer offered apples to the housekeeper, because he might like them. ||| l&apos; agriculteur offrait des pommes au ménager , parce qu&apos; il pouvait les aimer .
The CEO helped the nurse because she wanted to help. ||| la directrice générale a aidé l&apos; infirmière parce qu&apos; elle voulait l&apos; aider .
The CEO helped the nurse because he needed help. ||| le chef de la direction a aidé l&apos; infirmier parce qu&apos; il avait besoin d&apos; aide .
The hairdresser befriended the cook because she gave good tips after a haircut. ||| la coiffeuse a bravé la cuisinière parce qu&apos; elle a donné de bons conseils après une coupe de cheveux .
The hairdresser befriended the cook because he liked the food. ||| le coiffeur a bu le cuisinier parce qu&apos; il aimait la nourriture .
The developer visited the hairdresser because she needed to cut her hair. ||| la conceptrice a visité la coiffure parce qu&apos; elle avait besoin de couper ses cheveux .
The developer visited the hairdresser because he opened a new salon. ||| le développeur a visité le coiffeur parce qu&apos; il a ouvert un nouveau salon .
The manager told the hairdresser that she expected something better. ||| la gestionnaire a dit à la coiffeuse qu&apos; elle s&apos; attendait à quelque chose de mieux .
The manager told the hairdresser that he did a good job. ||| le gestionnaire a dit au coiffeur qu&apos; il faisait du bon travail .
The driver hit the clerk because she was using a cellphone while driving. ||| la conductrice a frappé la commis parce qu&apos; elle utilisait un téléphone cellulaire pendant qu&apos; elle conduisait .
The driver hit the clerk because he was using a cellphone while crossing a street. ||| le conducteur a frappé le commis parce qu&apos; il utilisait un téléphone cellulaire lorsqu&apos; il traversait une rue .
The auditor caught the developer cheating because she is dishonest. ||| la vérificatrice a attrapé la créatrice parce qu&apos; elle est malhonnête .
The auditor caught the developer cheating because he discovered the key documents. ||| le vérificateur a attrapé le promoteur parce qu&apos; il a découvert les documents clés .
The CEO raised the salary of the receptionist, because she is generous. ||| la présidente @-@ directrice générale a augmenté le salaire de la réceptionniste , parce qu&apos; elle est généreuse .
The CEO raised the salary of the receptionist, because he did a good job. ||| le chef de la direction a augmenté le salaire du réceptionniste parce qu&apos; il a fait un bon travail .
The guard saved the editor from the criminals because she was on duty. ||| la garde a sauvé le rédacteur en chef des criminels parce qu&apos; elle était en service .
The guard saved the editor from the criminals because he needed help. ||| le gardien a sauvé le rédacteur en chef des criminels parce qu&apos; il avait besoin d&apos; aide .
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive. ||| l&apos; adjointe a acheté un nouvel ordinateur en raison d&apos; une recommandation de la vendeuse , parce qu&apos; elle est convaincante .
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity. ||| l&apos; assistant a acheté un nouvel ordinateur à la suite d&apos; une recommandation du vendeur , parce qu&apos; il voulait accroître la productivité .
The auditor bought the guard a gift because he is thankful. ||| le vérificateur a acheté un cadeau à la garde parce qu&apos; il en est reconnaissant .
The auditor bought the guard a gift because she is effective. ||| la vérificatrice a acheté un cadeau à la garde parce qu&apos; elle est efficace .
The secretary asked the mover when she is available. ||| la secrétaire a demandé à la maman quand elle était disponible .
The secretary asked the mover what he could do to help. ||| le secrétaire a demandé au déménageur ce qu&apos; il pouvait faire pour l&apos; aider .
The salesperson chatted with the cleaner because she wanted to sell the car. ||| la vendeuse a chatté avec le nettoyant parce qu&apos; elle voulait vendre la voiture .
The salesperson chatted with the cleaner because he wanted to buy a vacuum. ||| le vendeur a chatté avec le nettoyant parce qu&apos; il voulait acheter un vide .
The farmer asked the designer what she could do to help. ||| l&apos; agricultrice a demandé à la conceptrice ce qu&apos; elle pouvait faire pour l&apos; aider .
The farmer asked the designer what he was working on. ||| l&apos; agriculteur a demandé au concepteur ce sur quoi il travaillait .
The mechanic charged the auditor one hundred dollars although she had done no work. ||| la mécanicienne a facturé à la vérificatrice cent dollars bien qu&apos; elle n&apos; ait pas fait de travail .
