The developer argued with the designer because she did not like the design. ||| le développeur a plaidé auprès du concepteur parce qu&apos; elle n&apos; aimait pas le design .
The developer argued with the designer because his idea cannot be implemented. ||| le développeur a plaidé auprès du concepteur parce que son idée ne peut pas être mise en œuvre .
The mechanic gave the clerk a present because she won the lottery. ||| le mécanicien a donné au commis un cadeau parce qu&apos; elle a gagné la loterie .
The mechanic gave the clerk a present because it was his birthday. ||| le mécanicien a donné au commis un cadeau parce qu&apos; il était son anniversaire .
The mover said thank you to the housekeeper because she is grateful. ||| le déménageur vous a dit merci au ménage parce qu&apos; elle en était reconnaissante .
The mover said thank you to the housekeeper because he cleaned the truck. ||| le déménageur vous a dit merci au ménage parce qu&apos; il avait nettoyé le camion .
The assistant scanned documents for the analyst because she asked. ||| l&apos; adjointe a scanné les documents pour l&apos; analyste parce qu&apos; elle l&apos; a demandé .
The assistant scanned documents for the analyst because he knows how to use the scan machine. ||| l&apos; assistant a scanné des documents pour l&apos; analyste parce qu&apos; il sait comment utiliser la machine à scanner .
The chief gave the housekeeper a tip because she was satisfied. ||| le chef lui a donné un conseil parce qu&apos; elle était satisfaite .
The chief gave the housekeeper a tip because he was helpful. ||| le chef a donné au ménage un conseil parce qu&apos; il était utile .
The salesperson sold some books to the librarian because it was her job. ||| la vendeuse a vendu certains livres au bibliothécaire parce que c&apos; était son travail .
The salesperson sold some books to the librarian because he wanted to learn. ||| le vendeur a vendu certains livres au bibliothécaire parce qu&apos; il voulait apprendre .
The lawyer yelled at the hairdresser because she was mad. ||| l&apos; avocat a crié au coiffeur parce qu&apos; elle était folle .
The lawyer yelled at the hairdresser because he did a bad job. ||| l&apos; avocat a crié au coiffeur parce qu&apos; il avait fait un mauvais travail .
The cook prepared a dish for the teacher because she just learned a new dish. ||| le cuisinier a préparé un plat pour l&apos; enseignant parce qu&apos; elle vient d&apos; apprendre un nouveau plat .
The cook prepared a dish for the teacher because he is hungry. ||| le cuisinier a préparé un plat pour l&apos; enseignant parce qu&apos; il a faim .
The mover outran the hairdresser because she was in shape. ||| le mover outran le coiffeur parce qu&apos; elle était en forme .
The mover outran the hairdresser because he did not feel good. ||| le mover outran le coiffeur parce qu&apos; il ne se sentait pas bien .
The physician told the baker that she tried the best. ||| le médecin a dit au boulanger qu&apos; elle avait essayé le meilleur .
The physician told the baker that he had cancer. ||| le médecin a dit au boulanger qu&apos; il avait le cancer .
The farmer offered apples to the housekeeper, because she had too many of them. ||| l&apos; agriculteur a offert des pommes au ménage , parce qu&apos; elle en avait trop .
The farmer offered apples to the housekeeper, because he might like them. ||| l&apos; agriculteur a offert des pommes au ménage , parce qu&apos; il pourrait les aimer .
The CEO helped the nurse because she wanted to help. ||| le chef de la direction a aidé l&apos; infirmière parce qu&apos; elle voulait l&apos; aider .
The CEO helped the nurse because he needed help. ||| le chef de la direction a aidé l&apos; infirmière parce qu&apos; il avait besoin d&apos; aide .
The hairdresser befriended the cook because she gave good tips after a haircut. ||| le coiffeur a befried the cook because she gave good tips after a haircut .
The hairdresser befriended the cook because he liked the food. ||| le coiffeur a befried le cuisinier parce qu&apos; il aimait la nourriture .
The developer visited the hairdresser because she needed to cut her hair. ||| le développeur a visité le coiffeur parce qu&apos; elle avait besoin de couper ses cheveux .
The developer visited the hairdresser because he opened a new salon. ||| le développeur a visité le coiffeur parce qu&apos; il a ouvert un nouveau salon .
The manager told the hairdresser that she expected something better. ||| la gestionnaire a dit au coiffeur qu&apos; elle s&apos; attendait à quelque chose de mieux .
The manager told the hairdresser that he did a good job. ||| le gestionnaire a dit au coiffeur qu&apos; il avait fait un bon travail .
